draws,lp__,overall_mean,yearly_trend,theta,sigma,p_jump,mu_jump,sigma_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
20,-49450.62547361814,49.98749704580673,-15.59730641947696,0.13733788105562622,3.496801177724318,0.13194396724292057,2.3575095549864695,10.181572660039341,-0.14134839181255637,0.12409864336046941,0.13742726264281918,0.1919793414361704,-1.5508554803444534,-2.1914929634182267,-1.0120908629194427,-2.92284775664301,-3.5632920907627814,-1.8584090375079547,2.6628276192796143,6.57370040814995,9.081452580445447,10.50862251056042,9.37081708498928,7.264277164943793,5.910650121510925,4.0109435333568495,2.6168197051207946,2.8731377087923233,6.3136230122643155,12.93591949895702,18.93798704735268,17.4199483542519,13.794980004101799,8.660150235489914,4.764738416921966,3.3410355059620587,0.41914497223737124,1.991662641022883,-1.3372577103380061,0.6911937363361542,4.114750706436071,-2.3479384942467756,-1.5153686641912256
21,-49458.62458723643,50.739292261448405,-16.138052925149736,0.14794510755292464,3.549727644100681,0.13031643550646058,1.958387989237181,9.98728852753023,-0.22032943535232596,-0.07852054543974141,-0.13490887615148137,-0.05060640134682816,-1.0651220182178298,-1.3336507001174471,-1.3801410324016283,-3.2187544928309233,-3.4001722473753975,-2.271260764349189,2.047379971016082,6.148867321912918,8.814880321915778,10.232789715577054,9.153659709020799,7.544813175580287,6.056205368913019,4.0554836948973145,2.489129792113873,2.813027400603452,6.472015204237103,13.291242974385279,19.722783087836763,18.07189829529015,14.204619920750934,8.891146765326969,4.809596881066813,3.6012486969165893,0.5592700491565032,1.9166558389004933,-1.6961228189780935,0.8676755927664199,4.257590250534044,-2.0443389174730244,-1.7097525660774273
22,-49443.67154051468,50.57326692558378,-16.204265060611107,0.1471563590738393,3.4565345520299586,0.13136185127689648,1.8372771854137857,10.372818250054912,0.4038565751526292,0.4413423470291861,0.3274459184234235,0.11254815470724744,-1.1720862335272066,-1.486505645806631,-1.1790383092301384,-3.4765447870833976,-4.091941445476474,-2.4879068512059495,2.0952654510401674,6.342903735187721,8.871498663812323,10.26905964170848,9.388669888942465,7.5798112037133665,6.059870356488765,4.149630757240842,2.5600342905348525,2.757450263584541,6.134540337270305,12.959553081239916,19.196125200164833,17.99332511920593,14.299759502932472,9.205188687164155,5.243621399508332,3.6729995067692256,0.5156708736196985,2.0614212114237205,-1.2935802312981106,0.8205303715203432,4.089257184233422,-2.1919439794920956,-1.5179218995054897
23,-49451.83433890079,50.92152733815779,-16.066298725347824,0.14466007461969588,3.5360089908741585,0.1306341281124619,1.8545774721544006,10.15215298027233,0.37658215487555063,-0.17624384496623924,-0.1923359258319331,-0.16999251186723904,-1.8532793804532566,-2.09743495860324,-1.5691629338742028,-3.228338326866052,-3.7130953034179703,-1.9734545221272342,2.6357732510889202,6.691781417721759,9.331981699402677,10.490685751932759,9.53058060158434,7.7887203828216585,6.501182975271498,4.473182004198676,2.996275146568736,3.121002574778788,6.432294134736587,12.939705896530644,19.036751353778357,17.354919047973016,13.78492661151874,8.936426424463919,4.934680223193791,3.3984917893507904,0.6943928033430877,2.3835776234880264,-1.0931016015228767,0.4648964407051893,3.926169753792263,-1.9255304858332583,-1.1313314687164486
24,-49448.52630444917,51.10634947119244,-16.416231142090712,0.1413013851441118,3.461093155626252,0.13500583873596703,1.9118463102466445,10.184503724218615,0.02143652782532449,0.21481519437612706,0.19524183532360587,0.007063029208307994,-0.6755743010797772,-1.161624236355643,-1.0515593511340666,-3.0128846543612946,-3.428894305441342,-2.0577780049811336,2.4873825709896753,6.611649194761608,9.008480715628268,10.286249701038194,9.230148801345276,7.609267114396022,6.224706740724265,4.182798530433346,2.5642366883540935,2.5038987519934417,6.165962765391433,12.827321649759911,18.936930615917785,17.210196495831948,13.662039073652661,8.75146488181173,4.664181948255557,3.2242361961183845,0.4487754258846178,2.5343611699315867,-1.5392512819682662,0.306019301258594,4.41125236873923,-1.934936895111546,-1.8616330580486482
25,-49446.44640521693,49.51591445322077,-15.441870472599614,0.13786023609212864,3.465662628350423,0.12783404043371777,1.893868086715206,10.230454820092046,0.2718234393606332,0.849185208748605,0.5525908407380561,0.5743298581275034,-0.9903935989088415,-1.185353671849968,-1.1812717121554597,-3.514266591922907,-3.8806869790704415,-2.4260217616325153,1.958127869626253,6.191680768614441,8.898175328852139,10.054964311869007,9.198436796622294,7.632342847624662,6.341927950297005,4.499940500876005,2.9103570930194094,3.273583038929324,6.605572689561638,13.085035118842926,19.246121897490166,17.728116317042907,14.038458951168495,9.037676329493582,4.974613575390967,3.5903121894331322,0.6601798088365795,2.18444082359944,-1.233832266150006,0.8038878005064716,4.552574633971612,-2.247001627927951,-1.51896603597548
26,-49450.291573358096,51.36098368241425,-16.16483341729184,0.14033732716522918,3.470600026181659,0.12952046017373772,1.628412016914202,10.166422546097795,0.1914798849162089,-0.17726526152562921,-0.19247780550159524,-0.032459999059524965,-1.4590600209361342,-1.783354962638976,-1.2815324685718106,-3.122913012559734,-3.609820268777983,-1.9454591355995292,2.6080471537935703,6.2734153166896975,8.910173821561534,10.284481639587947,9.12039189887657,7.4810650304208535,6.1587773565735535,4.160023093422063,2.529560269895266,2.7269343898309235,5.991960803022786,12.793180689709775,18.961125068776724,17.33685628796157,13.666177787130009,8.3840269367422,4.351880553387629,3.2857181433498517,0.7067722460425281,2.0655513571256585,-1.0609362768371942,0.43055482647479143,4.308930158711992,-1.7164843474900988,-1.9346425374617322
27,-49450.53459551094,50.60017222605668,-15.933235568350687,0.14804167146373687,3.4370804613059183,0.14044115573005303,1.7271163713556263,9.967087281627016,-0.16148808969915854,0.8301178158872424,-0.0884094098942413,-0.31261517303324815,-1.4017574799252415,-1.282970833870711,-0.9942392205378204,-3.242261118863632,-3.949366572545676,-2.2665529690336,2.374257299904694,6.454470029786105,9.333001162034776,10.661213465660962,9.722840441426351,7.966748070137116,6.52950977258588,4.3991556661190385,2.592866617762723,2.7846021931750564,6.101356126963223,12.693516751787115,19.116549632863446,17.518647527927115,13.750001984545325,8.665074142709939,4.7641592463048985,3.4817721370831705,0.518674229653664,2.2152414248792454,-1.1260738607987775,0.4543952571361874,4.3040925531386405,-1.9490756361002783,-1.306216364347206
28,-49447.33814216102,51.11918223582598,-16.00517915651284,0.13943448478659687,3.526806480560031,0.12972068149053162,1.6980133414765535,10.049474172304931,0.32008362116895683,0.747463405600637,0.0747822136683279,-0.19329748973826458,-1.785360088241316,-1.610301159165406,-1.216942072650457,-3.276115444676028,-3.8513686472718187,-2.2065928278051814,2.4559841411118764,6.293279754752852,8.945931771354836,10.514904284019664,9.280736235383284,7.37126352067555,5.8058402280197665,3.9589728678097225,2.370639726540569,2.56253897248598,6.053525023640976,12.708909611002763,18.90590056805843,17.404753557585646,13.8048454452645,8.793921486983209,4.4100942463950075,3.2363364879609664,0.4726071751740262,2.0730770831009857,-0.9465671677612761,0.17461206882354696,4.321558360785715,-1.7429013571654073,-1.8871246842433433
29,-49445.84257538097,50.86895681578399,-16.51069110687094,0.1488309382922463,3.505129580016382,0.13818482069983162,1.7126634879780531,9.7600014439519,0.41058221481337936,1.1919389028650385,0.3797459839458389,0.08141828740950804,-1.3692609694980884,-1.451833802568978,-1.3109426844715457,-3.2307316457234205,-3.9027454490350686,-2.0409465983727655,2.540751379187008,6.344363013878658,9.004742166591354,10.383661660855733,9.419980407114187,7.571229911835819,6.09494288977414,4.033661264536564,2.42661767376389,2.408611215838561,5.776046815867171,12.62078559687211,18.75894074622877,17.23966802710692,13.752586343140417,8.369998842486245,4.393569494849002,3.280736428244558,0.4570082027904165,2.402852362083457,-1.1039493655585642,0.9190900539369444,3.8998254033292397,-1.7728610397272242,-1.6156358328533773
