draws,lp__,overall_mean,yearly_trend,mu_jump,sigma_jump,p_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,pi.1,theta.1,sigma.1,alpha.1,pi.2,theta.2,sigma.2,alpha.2,A.1.1,A.1.2,A.2.1,A.2.2,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
990,-48849.801396863855,50.07532513743271,-14.643707068071135,3.4803956951932524,9.45776361126618,0.18244618219623276,0.3662841878511177,0.3534942537157427,0.35855271747463663,0.09831887991682126,-0.7757469593085164,-1.2151231717440354,-1.1305550720001258,-2.863189760667498,-3.6255408571835823,-2.1736003011361285,2.07402256241727,5.702461801058025,8.034570712679882,8.95250192208297,7.909609456679429,6.137455526293574,4.648383183547359,2.8758270592775395,1.3500549324370017,1.5817635729466148,4.756097140873494,10.933558717242601,16.537067346979306,15.37597049425098,12.211765116217375,8.516634497143741,4.5609924600481735,3.610851034586407,0.7940577773977016,0.9997966243285306,0.0020042697339096053,2.329771248587085,0.9979977374734545,0.00020337567146944124,0.5951598371812113,4.956490455093108,0.5514744127073038,0.7759166342419614,0.22408336575803856,0.42670816711268406,0.573291832887316,1.9136056620209607,-0.9466600721331222,0.8519077133895401,3.682027924810613,-2.756155674633637,-0.9546154179161185
991,-48844.1070574904,49.73924926572911,-14.945246697872859,3.253136291580116,9.754481098723458,0.18244618219623276,0.40975931291242834,0.9200936132374253,0.39767138159024373,0.557533197208671,-0.9837537521142695,-1.0385954960027464,-1.1308932949034705,-2.8747221748431806,-3.474582706385181,-2.1405166495572083,2.306863939575666,5.958239753475981,8.436971698298803,9.638830267489501,8.409070588395926,6.594040886049456,4.952027125171505,3.174602834121098,1.7467085375691673,1.8756088652589882,5.078334657006507,11.278439106766838,16.915644246688185,15.681262561791861,12.92037756182594,8.694509892906648,4.972500051099119,3.758894980415688,0.8462690828791897,0.9975893543444982,0.001282399373021667,2.3758375347894516,0.9987184225496724,0.002410645655501753,0.6061014865561293,4.985979106443397,0.5454732641471027,0.7785969861029538,0.2214030138970462,0.42507024707951313,0.5749297529204869,1.6861459083826498,-0.5250598477661376,0.5251795179887544,3.878645112382478,-2.1609619124375126,-1.425957669682319
992,-48851.49812726092,50.792381134054466,-15.425111797638376,3.815821468175145,9.450009597747785,0.18244618219623276,-0.11762233913688183,0.19428762192970822,-0.1368852563732578,-0.02014300971855464,-1.1550083074107431,-1.7174334782568084,-1.0320074908342356,-2.661250516165894,-3.2528687185745735,-1.787811352237595,2.534287862719101,6.185729198708211,8.174207506751632,9.112026079097003,8.03038818258205,6.394414114832344,5.183056927548331,3.145557566039307,1.6304785153819934,2.0320719801104064,5.062059314125279,11.327499649570344,16.868751581410635,16.044094588718195,13.198284651137147,9.248945206652145,5.374354166247787,3.876235997751972,0.9556321934085964,0.994949328075767,0.004863463998381287,2.24700699651917,0.9951483434931251,0.00505067192423303,0.5869638358151555,5.112300061957429,0.5560128709464915,0.7766935393214204,0.22330646067857962,0.41085010423225954,0.5891498957677405,1.9789857591812092,-0.6002329250991519,0.9300452031347132,4.173439533739288,-2.5666207294766976,-1.0809518946112155
993,-48853.909665574676,51.10564568531011,-15.655973395783723,3.571226118844745,10.282892830520716,0.18244618219623276,0.37990530912571363,0.7080478220302978,0.4476585282454773,0.5287957291385285,-0.14740931410975439,-0.5166600980399328,-1.0501854661604717,-2.882740768133461,-3.5392832980237823,-2.1002716155581633,2.1257401487037346,5.579886529750582,7.9459142354350805,9.14130344634989,7.9407939559083704,6.165073149732917,4.7568820899844395,3.0393401243663414,1.419655109119425,1.5727767736517795,4.65138429990787,11.001254163908097,16.94296650967736,15.70222972026273,12.59797841880405,8.401161072496318,4.7642107015592945,3.635572231881301,0.8204294677148276,0.9927694302617533,0.001111716167220208,2.270369929977453,0.9988889015602642,0.0072305697382466505,0.5921923494195633,5.207712594568761,0.5531133368188016,0.7755182253433719,0.2244817746566281,0.39186945312744853,0.6081305468725515,1.3941688071112117,-0.4997320882946666,1.0254511500283268,4.103525053663038,-2.1977194800099986,-1.0727178431572053
994,-48843.6355784346,50.05204192540529,-14.590051328143712,3.452934014087345,9.51339574621696,0.18244618219623276,0.03807591193897611,0.6173744283186601,0.2791616824187364,0.286775787583432,-1.1783709450316366,-1.2582723936255344,-1.0002663690155502,-2.8302955744480713,-3.579609699871036,-2.1832235377371854,2.1425937757972413,5.610002986801052,7.987174022307444,9.150358161997051,8.055624121779676,6.134464760611744,4.678060985245408,2.8832543477850896,1.2785721264275842,1.3390961186391397,4.405723728061062,10.737137562147632,16.33200800100471,15.391823470210786,12.68653994250761,8.779990695948607,5.095034951865036,3.649386478418104,0.9613022069566514,0.9993353810856476,0.003430692058723049,2.312781331185676,0.9965751860413727,0.0006646189143524328,0.580060947763586,5.052101890051459,0.5598642430520109,0.7651959894892607,0.2348040105107393,0.4316975326409216,0.5683024673590784,1.7572662692399796,-1.0974613770925972,0.9807407297641321,4.075048175718482,-2.1000975136008657,-0.9782780923241247
995,-48842.388212627055,49.791512239306094,-15.02005580665506,3.6907963145377303,9.273539368218541,0.18244618219623276,0.30981467712212923,0.6540480846570311,0.9181021250286027,0.6371292620641603,-0.5227722374366212,-1.1039846473169783,-1.1077333123821471,-2.9581856417515637,-3.447348745011997,-1.8388678371830942,2.576362752142952,6.13074709637922,8.299727586239669,9.312068483764952,8.456571017596104,6.7613860596504525,5.219013629828049,3.3645472551687687,1.7170576878256352,1.665815653927481,4.846007516975136,10.934570335072166,16.568737308644984,15.578968581154573,12.646627305862522,8.936139825224073,5.180489938625705,3.7327804512340057,0.9272365127182817,0.9843895153446002,0.0027041685881845283,2.2986483507579005,0.997299484382201,0.015610484655399826,0.61145306853891,5.122567747748173,0.5425619163610583,0.7762521000273398,0.2237478999726602,0.3992397261433918,0.6007602738566082,1.6248755220470101,-1.0218822314307143,0.5646790485306258,4.017043444069438,-2.2287965231390556,-0.7400992938592629
996,-48864.93038641348,50.675616493833274,-15.450683474525603,4.08841566267952,9.53054336603566,0.18244618219623276,-0.10201236455919804,0.1755641455451702,-0.0004985524230833316,0.1576609368061357,-1.0829343522035235,-2.059855456907598,-1.0588748343000312,-2.6449581533199966,-3.1466717461113602,-1.7000891670276523,2.6375066290097093,6.066277387039076,8.334543170839279,9.354869734049617,8.23004237107458,6.372335708394756,4.796473748910055,3.2340754767266797,1.6589738118828514,1.463528492492823,4.745579331273593,10.995299852505392,17.159900669142356,16.01129295729807,13.109459680979768,9.18349201954266,5.460548219592884,3.8220971351654596,1.0007374999880196,0.9863684821156206,0.0036534230432004526,2.2809478600251136,0.9963532425868397,0.01363151788437944,0.566929157222397,5.310471525966402,0.5672647476138094,0.764471527294268,0.23552847270573196,0.3972435700051301,0.6027564299948699,1.9793933959811914,-0.7231986007890315,1.0413307997721333,4.084177691141694,-2.4206944696642,-1.2763083339525327
997,-48850.569198844976,50.79288939452479,-15.828595938254297,3.2690039490156546,10.27586639889772,0.18244618219623276,0.5078091074287567,0.9071241749991458,0.7674786505723525,0.9376963442202042,-0.2789484743448826,-0.6920431020258389,-1.1003043851767993,-2.989084873199007,-3.421129632250413,-2.2229617542179327,2.003332469825404,5.531986136371468,7.858958813633953,8.8763210036195,7.945110899866196,6.233086704562169,4.724629690146676,2.7748330993599932,1.3869552753229608,1.5619664555486812,4.977651696199914,11.199861410256055,16.780879405530925,15.617857269131065,12.56006801813571,8.610550938874255,4.841192839665274,3.556778944728377,0.7681205017601925,0.9862699442310789,0.005883849886252562,2.2630803137549775,0.9941334260588598,0.013730055768921057,0.5837172953817121,5.118685026495848,0.5578209225818288,0.7628681984458009,0.2371318015541991,0.39556940120122797,0.604430598798772,1.39688207993912,-0.6172229862984674,0.9748248926212273,4.089598000714665,-2.19888377536605,-1.243358625439127
998,-48850.0003797933,50.62843489234368,-15.468735854310832,3.362824159077344,9.72511977573805,0.18244618219623276,-0.23650531128873178,-0.08772578702674318,0.2193445841309939,-0.12230745925038379,-1.0132233865640763,-1.0227929971551557,-1.1645207732891345,-3.049247207763391,-3.4359995820129074,-2.0834071710768898,2.341082588621229,6.219978877399191,8.350086189842623,9.446082929269826,8.642462099841298,6.801180993709952,5.2989696392121095,3.5746101624812754,2.167326557716568,2.1932109383149165,5.375320023960632,11.629306541380217,17.005330412021646,15.96670524753316,12.935512772845762,8.744790181054979,4.969028606032487,3.6598293320252475,0.8882186760714229,0.9876983944764073,0.013502521411682195,2.329605594906731,0.9865882287195111,0.012301605523592718,0.6055902768112794,5.235238129998953,0.5457521866831747,0.7915578403407901,0.20844215965920987,0.3946994792886826,0.6053005207113173,1.7763270779698919,-0.8745798973870221,1.1797145976589622,4.000547849908811,-1.6093346508417294,-1.157680828567636
999,-48841.69708217391,49.9111198967486,-14.539708879070103,3.2347907191712486,10.00170918020654,0.18244618219623276,0.3114138567865753,0.6075213779520342,0.37720634978308343,0.2737297138111977,-0.7972397147372889,-1.1594184269668153,-1.0802050829774814,-2.86097360058497,-3.4060243752926613,-2.072284653809309,2.137046812109986,5.766155228538805,8.200649335088825,9.260358633993865,8.348766434246352,6.516258840154064,5.0433033918438,3.1114989318692974,1.6992739830394505,1.9576975802596175,5.102805831377745,11.320423954097931,16.886269909059738,15.431933588263888,12.414987935871075,8.4923233789449,4.7251215327354,3.2477701689765253,0.617038163561262,0.9942350451219579,0.011338465642345776,2.3219720953171326,0.988725572499277,0.005764954878042072,0.598652798883461,5.069820510736638,0.5495514939997398,0.7829288787182376,0.21707112128176242,0.3963305388987128,0.6036694611012872,1.7558603562762187,-0.467936061013029,0.8973083244549575,3.9871213152564353,-1.7087446682261263,-1.3633499314389648
1000,-48853.63342852256,49.97525133561958,-14.584694102373243,2.8060622114902514,9.577835813935087,0.18244618219623276,0.3585889695348333,0.5058299884563701,0.3108822578827094,-0.09689630630754895,-1.0490817013243812,-0.7010783423637431,-1.0435150735771996,-2.8162413939459356,-3.402510798045993,-1.8978808672574237,2.4727440234368565,6.00664467123918,8.357135999741843,9.456270218893652,8.301548641729791,6.380880651834963,4.999144437682758,3.1824081175898793,1.705826277003212,1.989255560822317,4.901300072994434,11.280250471704147,16.98889117185345,15.753204243669696,12.616336393417267,8.874539030374391,5.187539791758954,3.7849770703785883,0.7672804351697503,0.9896013317138438,0.00442348240726754,2.338029346562742,0.9955862867811168,0.01039866828615621,0.64558624975871,5.158694555323937,0.5243550489605768,0.7869651937539907,0.21303480624600935,0.40852135517135807,0.591478644828642,2.2113742825156293,-0.4894341192308532,1.0473267391454384,4.000859076203626,-1.9299321750076945,-0.5093038754894704
1001,-48846.81588277869,48.97743186586851,-14.117027554559767,3.5447947749711535,9.241652229405902,0.18244618219623276,0.5511237749821957,0.9669066438201301,0.5675746988029604,0.755271473243765,-0.4213794321756249,-1.2985710084581548,-1.1623862051738527,-3.0682934249432736,-3.5373586552463916,-2.3299903190984756,2.0575763120607964,5.70909430516006,7.899106135820487,8.951949098768669,8.04698888626902,6.499337042753641,5.140398342212008,3.220324258618755,1.6513864756574117,1.7830074064309938,4.783435971294208,10.766710873726975,16.39699573553412,15.340233225806642,12.386792251397523,8.433464774496585,4.577136554066447,3.4074210858838585,0.6844426178273375,0.9947498197756576,0.0015204926556132078,2.284903935068514,0.9984806627076966,0.005250180224342427,0.5790987691843075,5.0482463499543755,0.5604031916748103,0.7803157940405121,0.2196842059594879,0.40685431560842183,0.5931456843915781,1.9184592648935925,-0.9639433653203804,0.8614703515576201,3.7260786816754234,-2.401600308151592,-1.145406965780512
1002,-48849.10545559993,49.52807766007338,-14.663773941869742,3.2660327115694754,9.530813019852042,0.18244618219623276,0.16276032896546735,0.4357130963382117,0.577629587652961,-0.1165973725663609,-1.368611844396105,-1.5285142193853032,-0.9788596158144383,-2.7223057667228985,-3.4070804964941916,-1.8579873781486935,2.406363350833404,5.985205718103919,8.269228401981417,9.264038536289487,8.156699398257643,6.3696047024891245,5.149006131602361,3.244839450897982,1.505126347580699,1.6852138209983714,4.799141931630467,11.137675660911183,16.776912857329435,16.044098711197226,13.062343494719524,9.122623883339449,5.30358488084775,3.76613956946413,0.9133923667174623,0.9893391318946596,0.0007490985693512655,2.324823483781034,0.9992511819349359,0.010660868105340393,0.6015755105285808,4.986028587650583,0.5479476583648731,0.761751150216223,0.23824884978377703,0.426255174244231,0.573744825755769,1.7396011604731028,-0.7138972987407546,0.7483805159082868,3.724878097349749,-2.620559851526372,-0.9975376216278394
1003,-48847.608313484714,49.72794779977508,-14.439922181538801,3.255681945634702,9.276721964561302,0.18244618219623276,0.22885292153148235,0.37678056177003644,-0.049530456349340335,-0.3117999519172461,-1.2844968618575983,-1.2981510266129583,-1.2394952185219716,-2.8888906644728345,-3.3930704601185595,-1.8814125794024783,2.565489212378949,5.897426593651403,8.435038090319937,9.551582018371272,8.407106037214842,6.709803902958236,5.028461346148191,3.1999919972236457,1.4733058135693742,1.6816799481145897,4.821999641162553,11.048952065828967,16.486382346292178,15.467177737468441,12.686812814591125,8.986925681809227,5.32182212179478,3.8955741082499076,0.9032839554575388,0.985464343215987,0.0013078521537116083,2.2819249451560637,0.9986930027121964,0.014535656784013029,0.5794961807520298,5.009325133349782,0.5601805252118949,0.7752613789994823,0.22473862100051767,0.4170517806366054,0.5829482193633946,1.8400343241129744,-0.9960389116042542,0.7756770914279113,3.8252738851284986,-2.807746646235788,-0.9532144414255989
1004,-48851.0897893261,49.34952785910175,-14.707096699819457,3.5738900515860554,9.667744105099855,0.18244618219623276,0.16714437681004393,0.6066773038890342,0.35169825526754644,0.451748646475211,-0.8680771900538156,-1.698849028871953,-1.104077297705234,-2.6814399979762427,-3.318913248376514,-1.8646008206435607,2.442307538298825,6.039159967882295,8.348355674785601,9.569592858608049,8.808510933914382,7.159595505954313,5.726207964859214,3.5344068529708204,2.0843845632294697,2.1244502015798106,5.175064745350196,11.188941531042364,16.58104029370621,15.674203397832715,12.803662857738848,8.731900581882817,4.936101696952913,3.54819586184947,0.8990475769251323,0.9972920719184186,0.007867536488744473,2.3829815144812136,0.9921633315715463,0.002707928081581379,0.5913462392457614,4.866617447147538,0.553581529683791,0.7773161085448328,0.2226838914551672,0.45127757937879187,0.5487224206212081,2.148513175390971,-0.6172328197280095,0.46188041748792097,4.216458779523265,-2.416218174756436,-1.3126185330990177
1005,-48859.19222237537,48.675118277526046,-13.56455404027806,3.1614354330041494,9.319424308994957,0.18244618219623276,0.5691386020678104,1.074626984683528,0.8766439310716178,0.2453929241591745,-0.8538866189003712,-1.1914386220285162,-1.2691161372629962,-3.0038980587404143,-3.7530857866290046,-2.2453587032444537,1.8589394685716776,5.26401282500332,7.669016142721283,9.161093560840895,8.291440222437476,6.434329623538564,4.9332298237435745,3.2407092503712955,1.613809986320759,1.6877698037469808,4.830290886023862,10.861625791129049,16.43192797933617,15.097708830865745,12.544743919374964,8.374876622666223,4.7955474893962,3.294104087690595,0.6961950884486023,0.9970682454533882,0.0024577506280854654,2.3069351424420117,0.997545267168153,0.0029317545466117645,0.5958222414450425,5.101509619344253,0.5511092346660312,0.7819434274166428,0.2180565725833572,0.43052564157141066,0.5694743584285893,1.7539864340160254,-1.1595989040867434,0.9353395431060892,4.280473246979378,-2.2250885472139017,-1.065046118035613
1006,-48848.94147259786,49.93406328660693,-15.069731109997933,3.225524136524475,9.860123666876937,0.18244618219623276,-0.10342275204023262,0.37121034209855347,0.0891500101006529,0.009217421681112711,-1.071419640169633,-1.3749350529492523,-1.0058075259675403,-2.806311792203866,-3.2985659014367643,-1.9726769110428475,2.3569807079234617,5.978859801760713,8.200226807677659,9.558683804256571,8.399662642435132,6.485266118810648,4.896545328188327,2.949651911361917,1.4090447450849957,1.7371168339746514,4.800694753257961,10.899817930375594,16.60577723231108,15.696443644781484,13.189243950525865,9.217594289295208,5.366380999113656,3.6295703106688637,0.6536800389097871,0.9801922000362068,0.004467358240947721,2.3297424966232647,0.9955426055610658,0.019807799963793227,0.5892381017232535,5.104258314400676,0.5547497866688095,0.7752366106537505,0.2247633893462495,0.4422315622774935,0.5577684377225065,1.4721332718336864,-0.672310882514312,1.03255236163173,3.396198205781567,-2.5699459753901666,-0.8157166403627113
