draws,lp__,overall_mean,yearly_trend,theta,sigma,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
10,-52052.49114815809,54.96686970730104,-17.138613589069056,0.17041614229692742,5.083848739685024,-0.1547119219314051,0.7558122946228284,0.3019451355709428,-0.39943101762725786,-1.6859389509866467,-1.5300893894213667,-1.7699366309087852,-4.5027473332752415,-5.437097392679702,-3.957436249672567,0.6255327158559817,4.755945175853389,7.2064588592472925,8.541740598952765,7.771922510884643,5.74007612816107,4.214801082666614,2.086338910939828,0.23254457772492226,0.5284484599146316,3.6392409361015168,12.085212451400144,19.73325327066744,18.469465238100007,13.431190750486653,7.852405181109108,3.542331123326646,2.925203303251199,0.598688240680823,2.021589232558685,0.042427042204226786,0.7581172450889331,5.351660074084928,-1.7818528176192228,-1.3043595322913746
11,-52054.638038275974,53.56274363981367,-16.790421487885204,0.17494496111370153,5.057727305361119,-0.014787732952474592,0.49414503183549846,-0.07263409555529698,0.16792769675327876,-0.7026054896418596,-1.5606411059064502,-1.7001180544683683,-4.073728314510245,-5.232055938304361,-3.3649024834399768,1.1777862871673737,5.437031024446526,7.771408277291917,9.210398913594195,8.363245004195315,5.977462039369742,4.474641817863072,2.441705542500682,0.591140100891359,0.7939174089748332,4.094213162368511,12.507599029073214,20.087163994744312,18.682547872095427,13.913492553726552,7.928678001898702,3.587507825279369,3.241105966913878,0.9247996387091898,1.9444256821876655,-0.12674949232054744,1.0164228529663597,5.197046887252094,-1.8329219236912309,-1.1123454476893209
12,-52061.719766356044,54.05851292791387,-16.99190792728646,0.16756610187134935,5.069743578284294,0.494564086782712,1.6353868856578941,0.8304555635828348,-0.2686973247017889,-1.1858676263471877,-1.5714601252381526,-1.7048766235510042,-4.092923800394853,-5.012205867356423,-2.9912548418536327,1.8631209130474868,6.077676871623509,8.540338500225072,9.942059277320066,8.931406557336228,6.494994649865436,5.1476315715584935,2.9396725348951436,1.4335323868406529,1.1083838772823686,4.290807431280289,12.616105789517391,20.255656366880633,19.100670315856487,14.010296213263102,7.958149548800137,3.446282262448318,3.0799634815210872,0.6692146710494938,2.418969515234958,-0.3098137352173557,0.21200410393815938,5.6784946060629045,-1.9519162958815204,-0.9063748148054852
13,-52059.96978300149,54.6835202083548,-17.412030205330243,0.17695344785357364,5.067680202849761,0.14568408631287952,0.8632324712656396,0.4903106674226293,0.3566149958236605,-0.43350836689079253,-1.1101520932261955,-1.8806059327826345,-4.389724210498844,-5.817303539245234,-3.9989964247074896,0.8438581107888355,4.9555478102445285,7.481011856831935,8.932803181090314,7.936932457238383,5.74560604999412,4.207249184923226,1.717203565922316,-0.13126888069144863,-0.059789266427317335,3.2896603268793347,11.781570092046046,19.6242018365608,18.844071395875346,13.68157230301022,7.888962638243494,3.2604897707838885,2.987390935962613,0.7465445986009738,2.8662963009736897,-0.39096644483490467,-0.24131529082861936,4.7747365960853285,-1.753018896710592,-1.3561799497803155
14,-52055.68868521273,54.850346043190044,-17.16578531838931,0.17586543622174663,5.12101658178389,0.5505756862060202,1.5049619612168368,0.6976101238600143,-0.45238549022180286,-0.9200510207841179,-1.8500306070785975,-1.6977260970288728,-4.340328823812556,-5.167409639796318,-3.5073606317774977,0.9998127674901593,4.989009314215517,7.192204383839475,8.69115457684697,7.658604242881049,5.485916918698831,3.9205048852155,2.042524161581301,0.2876024253129063,0.6255676716821919,3.6920057806236777,11.744333716014852,19.574159141798116,18.435584927475563,13.509681374959337,7.499716960605313,3.2507589830525525,3.1416824465217768,0.5506584955122542,2.3186783585039623,-0.8046238142854574,0.14203326121449078,4.735992622487884,-1.6964752983676596,-1.4211721325194038
15,-52063.053234822255,55.573426652924674,-18.09116732963354,0.16857285801026411,5.097271851732117,0.621657202518337,1.2831919535047613,0.2903509421008502,-0.35083958723350817,-1.125662734468671,-2.0145989674094373,-1.387154850636025,-4.031054365384515,-4.749000848827063,-3.047720111306038,1.4555290073703904,5.126984543340379,7.633523679123532,9.274885549122049,8.470788493522331,6.222786756654948,4.602612409885783,2.5040921054109404,0.4854776339450002,0.6478570889006462,3.819592974613676,12.068892065158014,19.631494264436608,18.56658142091587,13.37041207369596,7.48304166934072,3.2253750048845093,2.9728602275983285,0.6951760979200805,2.11148255946182,0.3854547717795157,0.8968839936037037,5.546838856028961,-2.370980747541924,-0.707842619731253
16,-52057.84913745139,53.30788856677643,-16.41389682817456,0.16927172878117536,5.040161098878061,0.3954797716494156,0.3195109833730136,0.8047966270224833,0.9980099217194024,-0.3903291885358392,-1.7931601771567938,-1.50913199909799,-3.7733617664676182,-4.888386991709132,-3.1948263518196005,1.5063669914261661,5.512122462419587,7.918504154587088,9.4659612235337,8.808693848630055,6.839125400026714,5.1192626938509225,2.876897244051161,0.7930314082248869,0.6726044775018581,3.752574521099188,12.217665148102714,19.652037699831997,18.57341235143859,13.530355748416634,7.799272829894266,3.4828864914054143,3.2619300240856446,0.7003845294766898,1.6314923886141666,-0.1806680144628658,0.4998831672086689,5.4806388039874,-1.6955875091981343,-0.8759461299855369
17,-52052.82845340554,54.44595823405441,-17.490467927550824,0.1716244601683037,5.092947759042109,0.9849749941480465,1.3802237784409908,1.0014815850758592,0.7146388523835109,-0.3782064903866666,-1.0642451948759428,-2.0022082725303756,-4.617825028554641,-5.654201020394533,-3.722458621531285,0.7168720820969532,4.4604810797423955,7.022045942119902,8.652487090243007,7.611251623554331,5.648033489933892,4.13342785790183,1.9835804347054944,0.47725699314751485,0.7430949937407524,3.892561986220153,11.936361196970129,19.494467701205725,18.603435255224877,13.563233425079359,7.953280739303181,3.423605085166477,3.005109510744529,0.45200647513391595,2.187649713265886,-0.033999067260455484,0.42625205490715135,4.932838690023866,-1.5175022108833174,-1.257983330047132
18,-52053.4876698469,54.63881395754975,-17.432039958640207,0.17414505055096985,5.040653166364076,0.5523397438543709,0.6652739140159205,1.3155492293483795,1.075413687040062,-0.3493507228418419,-1.404800395515954,-1.5333095964637233,-4.093591701252827,-5.215700227531503,-3.630255420580136,0.8351102116616207,4.728515847636027,7.0120829412430945,8.769063447347072,8.060069833756978,5.8956001867333585,4.385816343448588,2.0294808970195977,0.2277287925382995,0.25716809649956646,3.51206975481962,11.657231617204715,19.442869002702317,18.262359254630613,13.457282310363237,7.5662156485542145,3.1529849737418205,2.9591141019258864,0.7219788939764078,1.6890243258258277,0.334065023153825,0.5463413390953262,5.145195804896545,-2.027732076013532,-1.2441803036325583
19,-52058.16417898809,54.7220643467459,-17.29551665794575,0.18009237573268388,5.0869744200634965,-0.18349910071456388,0.2799756746166001,0.6235671918553221,0.31438214643840284,-0.9721181524931903,-1.7224173845878605,-1.7775577925092287,-4.174092723894539,-4.861018781395243,-2.9710243666254144,1.2335613490497555,5.1659009716596795,7.750863257287282,9.400789044983656,8.298340360601008,6.336507231220492,4.539504137401062,2.30114714937293,0.5616600971367433,0.6503616407404625,3.8851902980194213,11.773426682163697,19.428599099340502,18.323870091685738,13.361911374476646,7.569921472569231,3.328927848220475,2.8116801059111647,0.49930204016577967,2.2362786001684976,-0.5559237587564645,-0.12908681794295782,4.807973623881769,-1.1187547053193352,-1.8768252618036758
