utc_timestamp,GB_GBN_price_day_ahead,GB_GBN_solar_generation_actual,GB_GBN_wind_generation_actual,GB_GBN_load_actual_entsoe_transparency,GB_GBN_load_forecast_entsoe_transparency,log1p_solar_generation,solar_generation_filled,log1p_solar_generation_filled,log1p_wind_generation,log1p_wind_generation_lag1,wind_generation_filled,log1p_wind_generation_filled,log1p_load_forecast,load_forecast_filled,log1p_load_forecast_filled,log1p_price_day_ahead,price_day_ahead_filled,log1p_price_day_ahead_filled,is_saturday,is_sunday
2020-04-18 12:00:00+00:00,27.64,3265.0,3276.0,33306.0,27136.0,8.09132127353041,3265.0,8.09132127353041,8.094683648698815,8.135346948906706,3276.0,8.094683648698815,10.208653389327727,27136.0,10.208653389327727,3.3548043420924447,27.64,3.3548043420924447,1,0
2020-04-18 13:00:00+00:00,21.96,3285.0,3033.0,32104.0,26686.0,8.097426298597213,3285.0,8.097426298597213,8.017637159908478,8.094683648698815,3033.0,8.017637159908478,10.191931834432474,26686.0,10.191931834432474,3.133753571451366,21.96,3.133753571451366,1,0
2020-04-18 14:00:00+00:00,21.96,2900.0,3085.0,31856.0,27032.0,7.972810784121404,2900.0,7.972810784121404,8.034631032923107,8.017637159908478,3085.0,8.034631032923107,10.204813620903147,27032.0,10.204813620903147,3.133753571451366,21.96,3.133753571451366,1,0
2020-04-18 15:00:00+00:00,29.96,2270.0,3534.0,33197.0,28742.0,7.7279755421055585,2270.0,7.7279755421055585,8.170468578330674,8.034631032923107,3534.0,8.170468578330674,10.266149538318984,28742.0,10.266149538318984,3.4326960487215263,29.96,3.4326960487215263,1,0
2020-04-18 16:00:00+00:00,32.0,1480.0,3589.0,34555.0,30075.0,7.300472814267799,1480.0,7.300472814267799,8.185907481482324,8.170468578330674,3589.0,8.185907481482324,10.311482790497918,30075.0,10.311482790497918,3.49650756146648,32.0,3.49650756146648,1,0
2020-04-18 17:00:00+00:00,35.46,712.0,3429.0,34614.0,30103.0,6.569481420414296,712.0,6.569481420414296,8.140315540159985,8.185907481482324,3429.0,8.140315540159985,10.312413332273271,30103.0,10.312413332273271,3.596215769250517,35.46,3.596215769250517,1,0
2020-04-18 18:00:00+00:00,35.0,138.0,3162.0,34018.0,28667.0,4.9344739331306915,138.0,4.9344739331306915,8.059276223305648,8.140315540159985,3162.0,8.059276223305648,10.26353679711381,28667.0,10.26353679711381,3.58351893845611,35.0,3.58351893845611,1,0
2020-04-18 19:00:00+00:00,35.37,2.0,2987.0,33280.0,28144.0,1.0986122886681098,2.0,1.0986122886681098,8.002359546252707,8.059276223305648,2987.0,8.002359546252707,10.245124997898127,28144.0,10.245124997898127,3.5937442589988975,35.37,3.5937442589988975,1,0
2020-04-18 20:00:00+00:00,32.0,0.0,2842.0,32171.0,26838.0,0.0,0.0,0.0,7.952615111651,8.002359546252707,2842.0,7.952615111651,10.197611332567384,26838.0,10.197611332567384,3.49650756146648,32.0,3.49650756146648,1,0
2020-04-18 21:00:00+00:00,29.18,0.0,2767.0,29598.0,24936.0,0.0,0.0,0.0,7.92588031673756,7.952615111651,2767.0,7.92588031673756,10.1241079233059,24936.0,10.1241079233059,3.407179453339703,29.18,3.407179453339703,1,0
2020-04-18 22:00:00+00:00,33.1,0.0,2897.0,26856.0,22816.0,0.0,0.0,0.0,7.971776122880628,7.92588031673756,2897.0,7.971776122880628,10.035261151145573,22816.0,10.035261151145573,3.529297384289471,33.1,3.529297384289471,1,0
2020-04-18 23:00:00+00:00,25.6,0.0,3012.0,24534.0,21110.0,0.0,0.0,0.0,8.0106915391303,7.971776122880628,3012.0,8.0106915391303,9.957549510634658,21110.0,9.957549510634658,3.2809112157876537,25.6,3.2809112157876537,1,0
2020-04-19 00:00:00+00:00,24.2,0.0,3204.0,24178.0,20820.0,0.0,0.0,0.0,8.07246736935477,8.0106915391303,3204.0,8.07246736935477,9.943717371755197,20820.0,9.943717371755197,3.2268439945173775,24.2,3.2268439945173775,0,1
2020-04-19 01:00:00+00:00,21.63,0.0,3544.0,23607.0,20462.0,0.0,0.0,0.0,8.173293438966228,8.07246736935477,3544.0,8.173293438966228,9.926373656322829,20462.0,9.926373656322829,3.119276459645446,21.63,3.119276459645446,0,1
2020-04-19 02:00:00+00:00,18.0,0.0,3732.0,22258.0,19808.0,0.0,0.0,0.0,8.224967478914584,8.173293438966228,3732.0,8.224967478914584,9.893891658862682,19808.0,9.893891658862682,2.9444389791664403,18.0,2.9444389791664403,0,1
2020-04-19 03:00:00+00:00,12.07,0.0,3831.0,21186.0,19196.0,0.0,0.0,0.0,8.251142139090751,8.224967478914584,3831.0,8.251142139090751,9.86250929580757,19196.0,9.86250929580757,2.570319527636131,12.07,2.570319527636131,0,1
2020-04-19 04:00:00+00:00,10.45,0.0,3658.0,21089.0,19510.0,0.0,0.0,0.0,8.204945165019208,8.251142139090751,3658.0,8.204945165019208,9.878733688069898,19510.0,9.878733688069898,2.4379897300002487,10.45,2.4379897300002487,0,1
2020-04-19 05:00:00+00:00,10.0,134.0,3883.0,21770.0,20798.0,4.90527477843843,134.0,4.90527477843843,8.264620829411216,8.204945165019208,3883.0,8.264620829411216,9.9426601876106,20798.0,9.9426601876106,2.3978952727983707,10.0,2.3978952727983707,0,1
2020-04-19 06:00:00+00:00,14.88,898.0,4156.0,23782.0,22393.0,6.80128303447162,898.0,6.80128303447162,8.332548939252638,8.264620829411216,4156.0,8.332548939252638,10.016548344820142,22393.0,10.016548344820142,2.7650604558189897,14.88,2.7650604558189897,0,1
2020-04-19 07:00:00+00:00,24.0,2315.0,4388.0,26070.0,24263.0,7.747596838692885,2315.0,7.747596838692885,8.386856689688234,8.332548939252638,4388.0,8.386856689688234,10.096749049368418,24263.0,10.096749049368418,3.218875824868201,24.0,3.218875824868201,0,1
2020-04-19 08:00:00+00:00,26.0,4155.0,4779.0,28274.0,26246.0,8.332308352219117,4155.0,8.332308352219117,8.472195825485501,8.386856689688234,4779.0,8.472195825485501,10.175306975774374,26246.0,10.175306975774374,3.295836866004329,26.0,3.295836866004329,0,1
2020-04-19 09:00:00+00:00,25.0,6040.0,5434.0,29726.0,27470.0,8.706324840138741,6040.0,8.706324840138741,8.60061479955531,8.472195825485501,5434.0,8.60061479955531,10.220886181775844,27470.0,10.220886181775844,3.258096538021482,25.0,3.258096538021482,0,1
